time,1st_sensor,2nd_sensor,3rd_sensor,4th_sensor,recordingID
2021-09-30T10:40:59.277Z,40,54,84,12,3
2021-09-30T10:41:00.297Z,40,48,82,16,3
2021-09-30T10:41:01.216Z,30,46,82,10,3
2021-09-30T10:41:16.363Z,30,52,82,12,3
2021-09-30T10:41:17.387Z,32,44,82,18,3
2021-09-30T10:41:18.305Z,32,166,86,276,3
2021-09-30T10:41:19.535Z,34,202,130,384,3
2021-09-30T10:41:20.560Z,50,194,224,456,3
2021-09-30T10:41:21.580Z,832,174,146,388,3
2021-09-30T10:41:22.094Z,232,218,160,324,3
2021-09-30T10:41:23.221Z,494,208,146,600,3
2021-09-30T10:41:24.245Z,328,212,160,244,3
2021-09-30T10:41:25.267Z,218,246,176,506,3
2021-09-30T10:41:26.288Z,794,198,182,284,3
2021-09-30T10:41:27.415Z,404,250,214,570,3
2021-09-30T10:41:28.447Z,714,234,164,234,3
2021-09-30T10:41:29.464Z,372,68,216,246,3
2021-09-30T10:41:30.592Z,594,64,148,148,3
2021-09-30T10:41:31.098Z,358,78,100,22,3
2021-09-30T10:41:32.137Z,70,74,106,44,3
2021-09-30T10:41:33.143Z,36,66,98,58,3
2021-09-30T10:41:34.271Z,28,54,90,22,3
2021-09-30T10:41:35.293Z,32,46,76,24,3
2021-09-30T10:41:36.324Z,20,42,84,20,3
2021-09-30T10:41:37.341Z,26,42,90,18,3
2021-09-30T10:41:38.370Z,30,28,88,22,3
2021-09-30T10:41:39.390Z,22,162,86,900,3
2021-09-30T10:41:40.010Z,28,232,160,478,3
2021-09-30T10:41:40.409Z,30,192,144,408,3
2021-09-30T10:41:41.024Z,30,300,230,354,3
2021-09-30T10:41:41.637Z,526,296,218,266,3
2021-09-30T10:41:42.047Z,546,226,164,512,3
2021-09-30T10:41:42.661Z,882,210,144,714,3
2021-09-30T10:41:43.071Z,432,296,166,248,3
2021-09-30T10:41:44.299Z,808,230,134,962,3
2021-09-30T10:41:45.324Z,408,286,236,280,3
2021-09-30T10:41:46.347Z,434,322,214,620,3
2021-09-30T10:41:47.474Z,772,222,218,234,3
2021-09-30T10:41:48.499Z,260,236,234,428,3
2021-09-30T10:41:49.518Z,482,224,178,224,3
2021-09-30T10:41:50.131Z,184,126,182,594,3
2021-09-30T10:41:51.156Z,34,80,134,90,3
2021-09-30T10:41:52.182Z,28,62,102,106,3
2021-09-30T10:41:53.204Z,48,70,92,40,3
2021-09-30T10:41:54.230Z,14,54,88,14,3
2021-09-30T10:41:55.246Z,30,52,102,14,3
2021-09-30T10:41:56.476Z,24,52,88,16,3
2021-09-30T10:41:57.500Z,26,44,94,18,3
2021-09-30T10:41:58.121Z,30,48,100,16,3
2021-09-30T10:41:59.040Z,24,42,88,16,3
2021-09-30T10:41:59.652Z,30,52,94,14,3
2021-09-30T10:42:00.273Z,32,80,104,48,3
2021-09-30T10:42:01.286Z,786,360,208,332,3
2021-09-30T10:42:02.317Z,134,176,178,682,3
2021-09-30T10:42:03.334Z,904,310,176,382,3
2021-09-30T10:42:04.357Z,496,276,252,390,3
2021-09-30T10:42:05.398Z,1024,250,148,756,3
2021-09-30T10:42:06.006Z,546,236,194,624,3
2021-09-30T10:42:06.402Z,588,234,262,416,3
2021-09-30T10:42:07.018Z,414,160,198,406,3
2021-09-30T10:42:08.041Z,340,216,216,300,3
